"Path","Action","Reason"
"C:\WPAI\SOUL.md","replace-soul","bak=C:\WPAI\SOUL.md.legacy-pre-pack-20260727-205752"
"C:\WPAI\.agents\SOUL.md","replace-soul","bak=C:\WPAI\.agents\SOUL.md.legacy-pre-pack-20260727-205752"
"C:\WPAI\.claude\SOUL.md","replace-soul","bak=C:\WPAI\.claude\SOUL.md.legacy-pre-pack-20260727-205752"
"C:\WPAI\AI-Research\SOUL.md","replace-soul","bak=C:\WPAI\AI-Research\SOUL.md.legacy-pre-pack-20260727-205752"
"C:\WPAI\AI-Research\AssetConverter\CLAUDE.md","replace-claude","bak=C:\WPAI\AI-Research\AssetConverter\CLAUDE.md.legacy-pre-pack-20260727-205752"
"C:\WPAI\AI-Research\AutomationLab\Automation Architecture\CLAUDE.md","replace-claude","bak=C:\WPAI\AI-Research\AutomationLab\Automation Architecture\CLAUDE.md.legacy-pre-pack-20260727-205752"
"C:\WPAI\AI-Research\Claude_Playground\.claude\SOUL.md","replace-soul","bak=C:\WPAI\AI-Research\Claude_Playground\.claude\SOUL.md.legacy-pre-pack-20260727-205752"
"C:\WPAI\AI-Research\Janus\AGENTS.md","replace-agents-hybrid","bak=C:\WPAI\AI-Research\Janus\AGENTS.md.legacy-pre-pack-20260727-205752"
"C:\WPAI\AI-Research\Janus\CLAUDE.md","replace-claude","bak=C:\WPAI\AI-Research\Janus\CLAUDE.md.legacy-pre-pack-20260727-205752"
"C:\WPAI\AI-Research\Janus\AssetConverter-sparse\AGENTS.md","replace-agents-full","bak=C:\WPAI\AI-Research\Janus\AssetConverter-sparse\AGENTS.md.legacy-pre-pack-20260727-205752"
"C:\WPAI\AI-Research\Janus\AssetConverter-sparse\CLAUDE.md","replace-claude","bak=C:\WPAI\AI-Research\Janus\AssetConverter-sparse\CLAUDE.md.legacy-pre-pack-20260727-205752"
"C:\WPAI\AI-Research\Janus\Project-Janus\AGENTS.md","replace-agents-full","bak=C:\WPAI\AI-Research\Janus\Project-Janus\AGENTS.md.legacy-pre-pack-20260727-205752"
"C:\WPAI\AI-Research\Janus\Project-Janus\CLAUDE.md","replace-claude","bak=C:\WPAI\AI-Research\Janus\Project-Janus\CLAUDE.md.legacy-pre-pack-20260727-205752"
"C:\WPAI\AI-Research\Janus\Smart-Library\AGENTS.md","replace-agents-hybrid","bak=C:\WPAI\AI-Research\Janus\Smart-Library\AGENTS.md.legacy-pre-pack-20260727-205752"
"C:\WPAI\AI-Research\Recurrsive\SOUL.md","replace-soul","bak=C:\WPAI\AI-Research\Recurrsive\SOUL.md.legacy-pre-pack-20260727-205752"
"C:\WPAI\AI-Research\Recurrsive\.claude\SOUL.md","replace-soul","bak=C:\WPAI\AI-Research\Recurrsive\.claude\SOUL.md.legacy-pre-pack-20260727-205752"
"C:\WPAI\AI-Research\REL_Codex_Variant\SOUL.md","replace-soul","bak=C:\WPAI\AI-Research\REL_Codex_Variant\SOUL.md.legacy-pre-pack-20260727-205752"
"C:\WPAI\AI-Research\research_crawler\SOUL.md","replace-soul","bak=C:\WPAI\AI-Research\research_crawler\SOUL.md.legacy-pre-pack-20260727-205752"
"C:\WPAI\AI-Research\Smart Library\SOUL.md","replace-soul","bak=C:\WPAI\AI-Research\Smart Library\SOUL.md.legacy-pre-pack-20260727-205752"
"C:\WPAI\AI-Research\TSAM\SOUL.md","replace-soul","bak=C:\WPAI\AI-Research\TSAM\SOUL.md.legacy-pre-pack-20260727-205752"
"C:\WPAI\AI-Research\VeriForge\gaugeforge-v0.3-intent-layer\veriforge\SOUL.md","replace-soul","bak=C:\WPAI\AI-Research\VeriForge\gaugeforge-v0.3-intent-layer\veriforge\SOUL.md.legacy-pre-pack-20260727-205752"
"C:\WPAI\AI-Research\VeriForge\veriforge-scotty-edition\veriforge\SOUL.md","replace-soul","bak=C:\WPAI\AI-Research\VeriForge\veriforge-scotty-edition\veriforge\SOUL.md.legacy-pre-pack-20260727-205752"
"C:\WPAI\Gaming\Minecraft\Mods-1.20.1-Forge\Astral_Sorcery_Port\SOUL.md","replace-soul","bak=C:\WPAI\Gaming\Minecraft\Mods-1.20.1-Forge\Astral_Sorcery_Port\SOUL.md.legacy-pre-pack-20260727-205752"
"C:\WPAI\Gaming\Minecraft\Mods-1.20.1-Forge\Astral_Sorcery_Port\.claude\SOUL.md","replace-soul","bak=C:\WPAI\Gaming\Minecraft\Mods-1.20.1-Forge\Astral_Sorcery_Port\.claude\SOUL.md.legacy-pre-pack-20260727-205752"
"C:\WPAI\Gaming\Minecraft\Mods-1.20.1-Forge\Big Little Fixes\SOUL.md","replace-soul","bak=C:\WPAI\Gaming\Minecraft\Mods-1.20.1-Forge\Big Little Fixes\SOUL.md.legacy-pre-pack-20260727-205752"
"C:\WPAI\Gaming\Minecraft\Mods-1.20.1-Forge\OmniFix\AGENTS.md","replace-agents-full","bak=C:\WPAI\Gaming\Minecraft\Mods-1.20.1-Forge\OmniFix\AGENTS.md.legacy-pre-pack-20260727-205752"
"C:\WPAI\Gaming\Minecraft\Mods-1.20.1-Forge\OmniFix\SOUL.md","replace-soul","bak=C:\WPAI\Gaming\Minecraft\Mods-1.20.1-Forge\OmniFix\SOUL.md.legacy-pre-pack-20260727-205752"
"C:\WPAI\Gaming\Minecraft\Mods-1.20.1-Forge\OmniFix\.claude\SOUL.md","replace-soul","bak=C:\WPAI\Gaming\Minecraft\Mods-1.20.1-Forge\OmniFix\.claude\SOUL.md.legacy-pre-pack-20260727-205752"
"C:\WPAI\Gaming\Minecraft\Mods-1.20.1-Forge\SteampunkFactory\CLAUDE.md","replace-claude","bak=C:\WPAI\Gaming\Minecraft\Mods-1.20.1-Forge\SteampunkFactory\CLAUDE.md.legacy-pre-pack-20260727-205752"
"C:\WPAI\Gaming\Minecraft\Mods-1.20.1-Forge\Valkyrien Portals\SOUL.md","replace-soul","bak=C:\WPAI\Gaming\Minecraft\Mods-1.20.1-Forge\Valkyrien Portals\SOUL.md.legacy-pre-pack-20260727-205752"
"C:\WPAI\Gaming\Minecraft\Mods-1.20.1-Forge\Valkyrien Portals\.claude\SOUL.md","replace-soul","bak=C:\WPAI\Gaming\Minecraft\Mods-1.20.1-Forge\Valkyrien Portals\.claude\SOUL.md.legacy-pre-pack-20260727-205752"
